county,precinct,office,district,candidate,party,election_day,early_voting,av_counting_boards,votes
Berrien,"City of Benton Harbor, Precinct 1",President,,Ballots Cast,,462,111,322,895
Berrien,"City of Benton Harbor, Precinct 1",President,,Kamala D. Harris /,Democrat,408,104,305,817
Berrien,"City of Benton Harbor, Precinct 1",President,,Donald J. Trump /,Republican,44,5,9,58
Berrien,"City of Benton Harbor, Precinct 1",President,,Chase Oliver /,Libertarian,0,1,0,1
Berrien,"City of Benton Harbor, Precinct 1",President,,Randall Terry /,U.S. Taxpayers,0,0,1,1
Berrien,"City of Benton Harbor, Precinct 1",President,,Jill Stein /,Green,3,0,1,4
Berrien,"City of Benton Harbor, Precinct 1",President,,"Robert F. Kennedy, Jr. /",Natural Law,2,0,0,2
Berrien,"City of Benton Harbor, Precinct 1",President,,Joseph Kishore /,No Party Affiliation,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",President,,Cornel West /,No Party Affiliation,3,1,1,5
Berrien,"City of Benton Harbor, Precinct 1",President,,Write-in,,1,0,0,1
Berrien,"City of Benton Harbor, Precinct 1",President,,Cherunda Lynn Fox,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",President,,Claudia De la Cruz,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",President,,Jay J. Bowman,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",President,,Peter Sonski,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",President,,Over Vote Count,,0,0,2,2
Berrien,"City of Benton Harbor, Precinct 1",President,,Under Vote Count,,1,0,3,4
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Ballots Cast,,462,111,322,895
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,378,101,298,777
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Mike Rogers,Republican,47,5,13,65
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,6,2,0,8
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,5,1,3,9
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,6,1,1,8
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,5,0,1,6
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Write-in,,5,1,0,6
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,James Chapman,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Marcus A. Irvine,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Valerie Lee Willis,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Over Vote Count,,0,0,1,1
Berrien,"City of Benton Harbor, Precinct 1",U.S. Senate,,Under Vote Count,,10,0,5,15
Berrien,"City of Benton Harbor, Precinct 1",U.S. House,4,Ballots Cast,,462,111,322,895
Berrien,"City of Benton Harbor, Precinct 1",U.S. House,4,Jessica Swartz,Democrat,393,104,299,796
Berrien,"City of Benton Harbor, Precinct 1",U.S. House,4,Bill Huizenga,Republican,42,5,13,60
Berrien,"City of Benton Harbor, Precinct 1",U.S. House,4,Curtis Clark,U.S. Taxpayers,11,1,3,15
Berrien,"City of Benton Harbor, Precinct 1",U.S. House,4,Write-in,,2,0,0,2
Berrien,"City of Benton Harbor, Precinct 1",U.S. House,4,Over Vote Count,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",U.S. House,4,Under Vote Count,,14,1,7,22
Berrien,"City of Benton Harbor, Precinct 1",State House,38,Ballots Cast,,462,111,322,895
Berrien,"City of Benton Harbor, Precinct 1",State House,38,Joey Andrews,Democrat,406,103,301,810
Berrien,"City of Benton Harbor, Precinct 1",State House,38,Kevin Whiteford,Republican,46,7,16,69
Berrien,"City of Benton Harbor, Precinct 1",State House,38,Write-in,,0,1,1,2
Berrien,"City of Benton Harbor, Precinct 1",State House,38,Over Vote Count,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",State House,38,Under Vote Count,,10,0,4,14
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Ballots Cast,,462,111,322,895
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Theodore Jones,Democrat,382,98,291,771
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,358,95,280,733
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Tom McMillin,Republican,38,6,8,52
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Nikki Snyder,Republican,40,4,13,57
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Scotty Boman,Libertarian,11,1,2,14
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,3,3,4,10
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,8,2,5,15
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,Working Class,21,2,10,33
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Write-in,,2,0,1,3
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Over Vote Count,,0,0,2,2
Berrien,"City of Benton Harbor, Precinct 1",Member of the State Board of Education,,Under Vote Count,,61,11,28,100
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Ballots Cast,,462,111,322,895
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Denise Ilitch,Democrat,383,96,296,775
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,383,99,288,770
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Carl Meyers,Republican,39,6,15,60
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,Republican,30,5,8,43
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,9,3,3,15
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,13,2,7,22
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Write-in,,5,0,1,6
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Huwaida Arraf,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Berrien,"City of Benton Harbor, Precinct 1",Regent of the University of Michigan,,Under Vote Count,,62,11,26,99
Berrien,"City of Benton Harbor, Precinct 1",Trustee of Michigan State University,,Ballots Cast,,462,111,322,895
Berrien,"City of Benton Harbor, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,387,100,299,786
Berrien,"City of Benton Harbor, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,371,95,291,757
Berrien,"City of Benton Harbor, Precinct 1",Trustee of Michigan State University,,Mike Balow,Republican,43,5,7,55
Berrien,"City of Benton Harbor, Precinct 1",Trustee of Michigan State University,,Julie Maday,Republican,32,4,9,45
Berrien,"City of Benton Harbor, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,Libertarian,8,1,2,11
Berrien,"City of Benton Harbor, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,7,4,5,16
