county,precinct,office,district,candidate,party,election_day,av_counting_boards,early_voting,votes
Delta,"City of Escanaba, Precinct 1",President,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",President,,Kamala D. Harris / Tim Walz,Democrat,296,298,91,685
Delta,"City of Escanaba, Precinct 1",President,,Donald J. Trump / JD Vance,Republican,456,211,196,863
Delta,"City of Escanaba, Precinct 1",President,,Chase Oliver / Mike ter Maat,Libertarian,3,2,3,8
Delta,"City of Escanaba, Precinct 1",President,,Randall Terry / Stephen E. Broden,U.S. Taxpayers,1,3,0,4
Delta,"City of Escanaba, Precinct 1",President,,Jill Stein / Rudolph Ware,Green,7,1,1,9
Delta,"City of Escanaba, Precinct 1",President,,"Robert F. Kennedy, Jr. / Nicole Shanahan",Natural Law,9,2,0,11
Delta,"City of Escanaba, Precinct 1",President,,Joseph Kishore / Jerry White,No Party Affiliation,1,0,1,2
Delta,"City of Escanaba, Precinct 1",President,,Cornel West / Melina Abdullah,No Party Affiliation,1,0,1,2
Delta,"City of Escanaba, Precinct 1",President,,Write-in,,3,1,0,4
Delta,"City of Escanaba, Precinct 1",President,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",President,,Under Vote Count,,2,0,0,2
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,272,293,89,654
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Mike Rogers,Republican,435,206,190,831
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,22,5,4,31
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,17,5,1,23
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,2,4,0,6
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,5,0,1,6
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Write-in,,3,1,2,6
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",U.S. Senate,,Under Vote Count,,23,0,6,29
Delta,"City of Escanaba, Precinct 1",U.S. House,1,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",U.S. House,1,Callie Barr,Democrat,300,286,89,675
Delta,"City of Escanaba, Precinct 1",U.S. House,1,Jack Bergman,Republican,418,217,186,821
Delta,"City of Escanaba, Precinct 1",U.S. House,1,Andrew Gale,Libertarian,14,4,6,24
Delta,"City of Escanaba, Precinct 1",U.S. House,1,Liz Hakola,Working Class,23,8,4,35
Delta,"City of Escanaba, Precinct 1",U.S. House,1,Write-in,,2,0,2,4
Delta,"City of Escanaba, Precinct 1",U.S. House,1,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",U.S. House,1,Under Vote Count,,22,0,6,28
Delta,"City of Escanaba, Precinct 1",State House,108,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",State House,108,Christiana Reynolds,Democrat,291,281,87,659
Delta,"City of Escanaba, Precinct 1",State House,108,David Prestin,Republican,427,217,187,831
Delta,"City of Escanaba, Precinct 1",State House,108,Kayla Wikstrom,Libertarian,28,9,9,46
Delta,"City of Escanaba, Precinct 1",State House,108,Write-in,,4,2,3,9
Delta,"City of Escanaba, Precinct 1",State House,108,Over Vote Count,,1,0,0,1
Delta,"City of Escanaba, Precinct 1",State House,108,Under Vote Count,,28,0,7,35
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Theodore Jones,Democrat,247,256,76,579
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,243,255,78,576
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Tom McMillin,Republican,377,195,180,752
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Nikki Snyder,Republican,383,198,175,756
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Scotty Boman,Libertarian,37,20,10,67
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,12,4,4,20
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,19,6,6,31
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,Working Class,48,31,7,86
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Write-in,,7,1,2,10
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Member of the State Board of Education,,Under Vote Count,,185,0,48,233
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Denise Ilitch,Democrat,267,262,78,607
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,241,266,80,587
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Carl Meyers,Republican,410,204,183,797
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,Republican,350,177,167,694
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,35,15,8,58
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,29,23,8,60
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Write-in,,9,1,2,12
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Regent of the University of Michigan,,Under Vote Count,,217,0,60,277
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,261,261,84,606
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,223,246,71,540
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Mike Balow,Republican,390,193,182,765
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Julie Maday,Republican,368,193,172,733
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,Libertarian,36,10,6,52
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,21,13,4,38
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,12,11,3,26
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,Green,15,14,4,33
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Write-in,,9,0,3,12
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Over Vote Count,,0,0,0,0
Delta,"City of Escanaba, Precinct 1",Trustee of Michigan State University,,Under Vote Count,,223,0,57,280
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Ballots Cast,,779,521,293,1593
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,Democrat,225,243,78,546
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,Democrat,240,248,75,563
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Michael Busuito,Republican,376,190,178,744
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Sunny Reddy,Republican,367,187,166,720
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Farid Ishac,Libertarian,21,10,5,36
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,13,8,1,22
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Sami Makhoul,Green,7,6,3,16
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,Working Class,44,25,9,78
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,Natural Law,18,5,3,26
Delta,"City of Escanaba, Precinct 1",Governor of Wayne State University,,Write-in,,9,3,2,14
