county,precinct,office,district,candidate,party,votes,election_day,absentee,early_voting
Bay,Bangor Township Precinct 1,Registered Voters - Total,,,,1461,,,
Bay,Bangor Township Precinct 1,Ballots Cast - Total,,,,1130,502,478,150
Bay,Bangor Township Precinct 1,Ballots Cast - Blank,,,,0,0,0,0
Bay,Bangor Township Precinct 1,Straight Party Ticket,,Democrat,DEM,213,51,137,25
Bay,Bangor Township Precinct 1,Straight Party Ticket,,Republican,REP,304,170,89,45
Bay,Bangor Township Precinct 1,Straight Party Ticket,,Libertarian,LIB,0,0,0,0
Bay,Bangor Township Precinct 1,Straight Party Ticket,,U.S. Taxpayers,UST,3,1,2,0
Bay,Bangor Township Precinct 1,Straight Party Ticket,,Green,GRN,0,0,0,0
Bay,Bangor Township Precinct 1,Straight Party Ticket,,Working Class,WCP,2,1,0,1
Bay,Bangor Township Precinct 1,Straight Party Ticket,,Natural Law,NLP,0,0,0,0
Bay,Bangor Township Precinct 1,President,,Kamala D. Harris,DEM,444,121,262,61
Bay,Bangor Township Precinct 1,President,,Donald J. Trump,REP,669,374,207,88
Bay,Bangor Township Precinct 1,President,,Chase Oliver,LIB,3,2,1,0
Bay,Bangor Township Precinct 1,President,,Randall Terry,UST,1,0,1,0
Bay,Bangor Township Precinct 1,President,,Jill Stein,GRN,1,0,1,0
Bay,Bangor Township Precinct 1,President,,"Robert F. Kennedy, Jr.",NLP,5,2,3,0
Bay,Bangor Township Precinct 1,President,,Joseph Kishore,,2,1,0,1
Bay,Bangor Township Precinct 1,President,,Cornel West,,0,0,0,0
Bay,Bangor Township Precinct 1,President,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,U.S. Senate,,Elissa Slotkin,DEM,446,127,258,61
Bay,Bangor Township Precinct 1,U.S. Senate,,Mike Rogers,REP,646,355,206,85
Bay,Bangor Township Precinct 1,U.S. Senate,,Joseph Solis-Mullen,LIB,6,2,2,2
Bay,Bangor Township Precinct 1,U.S. Senate,,Dave Stein,UST,5,2,3,0
Bay,Bangor Township Precinct 1,U.S. Senate,,Douglas P. Marsh,GRN,4,3,1,0
Bay,Bangor Township Precinct 1,U.S. Senate,,Doug Dern,NLP,0,0,0,0
Bay,Bangor Township Precinct 1,U.S. Senate,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,U.S. House,8,Kristen McDonald Rivet,DEM,491,153,274,64
Bay,Bangor Township Precinct 1,U.S. House,8,Paul Junge,REP,587,319,185,83
Bay,Bangor Township Precinct 1,U.S. House,8,Steve Barcelo,LIB,10,5,4,1
Bay,Bangor Township Precinct 1,U.S. House,8,James Allen Little,UST,5,2,3,0
Bay,Bangor Township Precinct 1,U.S. House,8,Jim Casha,GRN,0,0,0,0
Bay,Bangor Township Precinct 1,U.S. House,8,Kathy Goodwin,WCP,12,8,4,0
Bay,Bangor Township Precinct 1,U.S. House,8,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,State House,96,"Rudy M. Howard, Jr.",DEM,358,109,204,45
Bay,Bangor Township Precinct 1,State House,96,Timothy Beson,REP,732,376,254,102
Bay,Bangor Township Precinct 1,State House,96,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Theodore Jones,DEM,362,99,213,50
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Adam Frederick Zemke,DEM,352,95,213,44
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Tom McMillin,REP,570,295,192,83
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Nikki Snyder,REP,560,305,177,78
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Scotty Boman,LIB,23,14,7,2
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Ted Gerrard,UST,15,9,6,0
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Christine C. Schwartz,UST,27,10,16,1
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Mary Anne Hering,WCP,42,29,7,6
Bay,Bangor Township Precinct 1,Member of the State Board of Education State,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Regent of the University of Michigan State,,Shauna Ryder Diggs,DEM,354,110,199,45
Bay,Bangor Township Precinct 1,Regent of the University of Michigan State,,Denise Ilitch,DEM,409,126,232,51
Bay,Bangor Township Precinct 1,Regent of the University of Michigan State,,Carl Meyers,REP,586,307,195,84
Bay,Bangor Township Precinct 1,Regent of the University of Michigan State,,Sevag Vartanian,REP,463,246,149,68
Bay,Bangor Township Precinct 1,Regent of the University of Michigan State,,Andrew Chadderdon,LIB,27,17,8,2
Bay,Bangor Township Precinct 1,Regent of the University of Michigan State,,Donna M. Oetman,UST,31,17,13,1
Bay,Bangor Township Precinct 1,Regent of the University of Michigan State,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,Rebecca Bahar-Cook,DEM,373,112,214,47
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,Thomas Stallworth III,DEM,342,99,201,42
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,Mike Balow,REP,566,304,184,78
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,Julie Maday,REP,541,283,184,74
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,Grant T. Baker,LIB,23,15,5,3
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,Janet M. Sanger,UST,22,10,10,2
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,John Paul Sanger,UST,12,7,5,0
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,John Anthony La Pietra,GRN,7,5,0,2
Bay,Bangor Township Precinct 1,Trustee of Michigan State University State,,Write-ins,,0,0,0,0
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Rasha Demashkieh,DEM,331,95,193,43
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Mark T. Gaffney,DEM,358,103,212,43
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Michael Busuito,REP,552,295,178,79
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Sunny Reddy,REP,523,280,169,74
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Farid Ishac,LIB,12,6,4,2
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,William Mohr II,UST,16,11,4,1
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Sami Makhoul,GRN,8,6,2,0
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Suzanne Roehrig,WCP,32,19,11,2
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Kathleen Oakford,NLP,15,8,6,1
Bay,Bangor Township Precinct 1,Governor of Wayne State University State,,Write-ins,,0,0,0,0
