county,precinct,office,district,party,candidate,votes,election,early_voting,absentee
Eaton,"Bellevue Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,247,80,26,141
Eaton,"Benton Charter Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,342,99,41,202
Eaton,"Brookfield Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,119,40,28,51
Eaton,"Carmel Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,294,56,85,153
Eaton,"Chester Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,147,33,22,92
Eaton,"Delta Charter Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,372,65,54,253
Eaton,"Delta Charter Township, Precinct 2",Straight Party Ticket,,DEM,Democratic Party,330,53,53,224
Eaton,"Delta Charter Township, Precinct 3",Straight Party Ticket,,DEM,Democratic Party,316,56,76,184
Eaton,"Delta Charter Township, Precinct 4",Straight Party Ticket,,DEM,Democratic Party,430,109,98,223
Eaton,"Delta Charter Township, Precinct 5",Straight Party Ticket,,DEM,Democratic Party,524,79,93,352
Eaton,"Delta Charter Township, Precinct 6",Straight Party Ticket,,DEM,Democratic Party,1119,367,168,584
Eaton,"Delta Charter Township, Precinct 7",Straight Party Ticket,,DEM,Democratic Party,513,151,85,277
Eaton,"Delta Charter Township, Precinct 8",Straight Party Ticket,,DEM,Democratic Party,636,188,121,327
Eaton,"Delta Charter Township, Precinct 11",Straight Party Ticket,,DEM,Democratic Party,444,100,65,279
Eaton,"Delta Charter Township, Precinct 12",Straight Party Ticket,,DEM,Democratic Party,415,109,68,238
Eaton,"Delta Charter Township, Precinct 13",Straight Party Ticket,,DEM,Democratic Party,217,48,29,140
Eaton,"Delta Charter Township, Precinct 14",Straight Party Ticket,,DEM,Democratic Party,313,66,58,189
Eaton,"Delta Charter Township, Precinct 15",Straight Party Ticket,,DEM,Democratic Party,479,86,77,316
Eaton,"Delta Charter Township, Precinct 16",Straight Party Ticket,,DEM,Democratic Party,1212,270,180,762
Eaton,"Eaton Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,464,117,97,250
Eaton,"Eaton Rapids Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,432,131,42,259
Eaton,"Hamlin Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,401,137,38,226
Eaton,"Kalamo Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,77,29,6,42
Eaton,"Kalamo Township, Precinct 2",Straight Party Ticket,,DEM,Democratic Party,71,21,7,43
Eaton,"Oneida Charter Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,467,140,47,280
Eaton,"Roxand Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,168,78,17,73
Eaton,"Sunfield Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,191,88,14,89
Eaton,"Vermontville Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,171,145,26,0
Eaton,"Walton Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,223,75,42,106
Eaton,"Windsor Charter Township, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,440,107,38,295
Eaton,"Windsor Charter Township, Precinct 2",Straight Party Ticket,,DEM,Democratic Party,426,117,47,262
Eaton,"Windsor Charter Township, Precinct 3",Straight Party Ticket,,DEM,Democratic Party,383,86,39,258
Eaton,"City of Charlotte, Dist. 1, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,561,184,95,282
Eaton,"City of Charlotte, Dist. 2, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,571,155,79,337
Eaton,"City of Eaton Rapids, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,187,73,16,98
Eaton,"City of Eaton Rapids, Precinct 2",Straight Party Ticket,,DEM,Democratic Party,182,74,18,90
Eaton,"City of Eaton Rapids, Precinct 3",Straight Party Ticket,,DEM,Democratic Party,246,93,24,129
Eaton,"City of Grand Ledge, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,408,167,33,208
Eaton,"City of Grand Ledge, Precinct 2",Straight Party Ticket,,DEM,Democratic Party,434,169,28,237
Eaton,"City of Grand Ledge, Precinct 3",Straight Party Ticket,,DEM,Democratic Party,315,106,22,187
Eaton,"City of Grand Ledge, Precinct 4",Straight Party Ticket,,DEM,Democratic Party,286,74,28,184
Eaton,"City of Olivet, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,96,91,5,0
Eaton,"City of Potterville, Precinct 1",Straight Party Ticket,,DEM,Democratic Party,302,125,46,131
Eaton,"City of Lansing, 3-22",Straight Party Ticket,,DEM,Democratic Party,1021,374,180,467
Eaton,"Bellevue Township, Precinct 1",Straight Party Ticket,,REP,Republican Party,772,485,136,151
