county,precinct,office,district,candidate,party,election_day,av_counting_boards,early_voting,votes
Clare,"City of Clare, Precinct 1",President,,Ballots Cast,,871,584,144,1599
Clare,"City of Clare, Precinct 1",President,,Kamala D. Harris,Democrat,276,330,52,658
Clare,"City of Clare, Precinct 1",President,,Donald J. Trump,Republican,565,241,90,896
Clare,"City of Clare, Precinct 1",President,,Chase Oliver,Libertarian,7,4,0,11
Clare,"City of Clare, Precinct 1",President,,Randall Terry,U.S. Taxpayers,4,0,0,4
Clare,"City of Clare, Precinct 1",President,,Jill Stein,Green,1,1,1,3
Clare,"City of Clare, Precinct 1",President,,"Robert F. Kennedy, Jr.",Natural Law,6,6,0,12
Clare,"City of Clare, Precinct 1",President,,Joseph Kishore,No Party Affiliation,2,0,0,2
Clare,"City of Clare, Precinct 1",President,,Cornel West,No Party Affiliation,1,0,0,1
Clare,"City of Clare, Precinct 1",President,,Write-in,,3,0,1,4
Clare,"City of Clare, Precinct 1",President,,Over Vote Count,,2,0,0,2
Clare,"City of Clare, Precinct 1",President,,Under Vote Count,,4,2,0,6
Clare,"City of Clare, Precinct 1",U.S. Senate,,Ballots Cast,,871,584,144,1599
Clare,"City of Clare, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,268,333,53,654
Clare,"City of Clare, Precinct 1",U.S. Senate,,Mike Rogers,Republican,543,228,84,855
Clare,"City of Clare, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,12,8,2,22
Clare,"City of Clare, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,13,2,1,16
Clare,"City of Clare, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,5,3,1,9
Clare,"City of Clare, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,6,0,0,6
Clare,"City of Clare, Precinct 1",U.S. Senate,,Write-in,,6,0,0,6
Clare,"City of Clare, Precinct 1",U.S. Senate,,Over Vote Count,,0,0,0,0
Clare,"City of Clare, Precinct 1",U.S. Senate,,Under Vote Count,,18,10,3,31
Clare,"City of Clare, Precinct 1",U.S. House,2,Ballots Cast,,871,584,144,1599
Clare,"City of Clare, Precinct 1",U.S. House,2,Michael Lynch,Democrat,225,298,46,569
Clare,"City of Clare, Precinct 1",U.S. House,2,John R. Moolenaar,Republican,593,263,88,944
Clare,"City of Clare, Precinct 1",U.S. House,2,Ben DeJong,Libertarian,11,4,2,17
Clare,"City of Clare, Precinct 1",U.S. House,2,Scott Adams,U.S. Taxpayers,16,4,4,24
Clare,"City of Clare, Precinct 1",U.S. House,2,Write-in,,6,0,0,6
Clare,"City of Clare, Precinct 1",U.S. House,2,Over Vote Count,,2,0,0,2
Clare,"City of Clare, Precinct 1",U.S. House,2,Under Vote Count,,18,15,4,37
