county,office,district,party,last,first,middle,suffix,votes
ALCONA,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,4201
ALCONA,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,1732
ALCONA,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,164
ALCONA,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,28
ALCONA,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,54
ALCONA,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,0
ALCONA,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
ALCONA,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
ALCONA,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
ALCONA,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
ALCONA,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,16
ALCONA,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,3
ALCONA,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
ALGER,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,2585
ALGER,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,1663
ALGER,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,177
ALGER,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,19
ALGER,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,67
ALGER,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,2
ALGER,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
ALGER,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
ALGER,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
ALGER,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
ALGER,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
ALGER,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,5
ALGER,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
ALLEGAN,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,34183
ALLEGAN,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,18050
ALLEGAN,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,2513
ALLEGAN,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,289
ALLEGAN,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,596
ALLEGAN,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,27
ALLEGAN,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
ALLEGAN,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
ALLEGAN,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
ALLEGAN,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,2
ALLEGAN,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,1
ALLEGAN,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,125
ALLEGAN,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
ALPENA,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,9090
ALPENA,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,4877
ALPENA,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,498
ALPENA,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,53
ALPENA,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,160
ALPENA,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,10
ALPENA,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
ALPENA,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
ALPENA,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
ALPENA,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
ALPENA,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,5
ALPENA,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,5
ALPENA,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
ANTRIM,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,8469
ANTRIM,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,4448
ANTRIM,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,459
ANTRIM,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,47
ANTRIM,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,146
ANTRIM,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,3
ANTRIM,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
ANTRIM,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
ANTRIM,President of the United States 4 Year Term (1) Position,,NPA,Hoefling,Tom,,,0
ANTRIM,President of the United States 4 Year Term (1) Position,,NPA,Kotlikoff,Laurence,,,0
ANTRIM,President of the United States 4 Year Term (1) Position,,NPA,Maturen,Michael,A.,,0
ANTRIM,President of the United States 4 Year Term (1) Position,,NPA,McMullin,Evan,,,10
ANTRIM,President of the United States 4 Year Term (1) Position,,NPA,Moorehead,Monica,,,0
ARENAC,President of the United States 4 Year Term (1) Position,,REP,Trump,Donald,J.,,4950
ARENAC,President of the United States 4 Year Term (1) Position,,DEM,Clinton,Hillary,,,2384
ARENAC,President of the United States 4 Year Term (1) Position,,LIB,Johnson,Gary,,,270
ARENAC,President of the United States 4 Year Term (1) Position,,UST,Castle,Darrell,L.,,26
ARENAC,President of the United States 4 Year Term (1) Position,,GRN,Stein,Jill,,,60
ARENAC,President of the United States 4 Year Term (1) Position,,NLP,Soltysik,Emidio,Mimi,,3
ARENAC,President of the United States 4 Year Term (1) Position,,NPA,Fox,Cherunda,,,0
ARENAC,President of the United States 4 Year Term (1) Position,,NPA,Hartnell,Ben,,,0
