county,precinct,office,district,candidate,party,election_day,absentee,votes
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Democratic,DEM,270,0,270
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Republican,REP,350,0,350
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Libertarian,LIB,3,0,3
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,1,0,1
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Working Class,WC,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Green,GRN,2,0,2
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Natural Law,NLP,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Cast Votes,,626,0,626
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Over Votes,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Straight Party,,Unresolved,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Gretchen Whitmer,DEM,487,0,487
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Tudor M. Dixon,REP,668,0,668
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Mary Buzuma,LIB,7,0,7
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Donna Brandenburg,UST,5,0,5
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Kevin Hogan,GRN,1,0,1
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Daryl M. Simpson,NLP,4,0,4
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Bob Scott (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Ervin Joseph Lamie (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Eugene Rosell Hunt Jr (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Evan S Space (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Joseph Irving (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Joseph Michael Hunt (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Justi Paul Blackburn (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Michael David Kelly (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Michael Ray Deck (W),,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Cast Votes,,1172,0,1172
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Over Votes,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Governor,,Unresolved,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Secretary of State,,Jocelyn Benson,DEM,529,0,529
Muskegon,"Blue Lake Township, Precinct 1",Secretary of State,,Kristina Elaine Karamo,REP,602,0,602
Muskegon,"Blue Lake Township, Precinct 1",Secretary of State,,Gregory Scott Stempfle,LIB,12,0,12
Muskegon,"Blue Lake Township, Precinct 1",Secretary of State,,Christine C. Schwartz,UST,7,0,7
Muskegon,"Blue Lake Township, Precinct 1",Secretary of State,,"Larry James Hutchinson, Jr.",GRN,5,0,5
Muskegon,"Blue Lake Township, Precinct 1",Secretary of State,,Cast Votes,,1155,0,1155
Muskegon,"Blue Lake Township, Precinct 1",Secretary of State,,Over Votes,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Secretary of State,,Unresolved,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",Attorney General,,Dana Nessel,DEM,483,0,483
Muskegon,"Blue Lake Township, Precinct 1",Attorney General,,Matthew DePerno,REP,632,0,632
Muskegon,"Blue Lake Township, Precinct 1",Attorney General,,"Joseph W. McHugh, Jr.",LIB,15,0,15
Muskegon,"Blue Lake Township, Precinct 1",Attorney General,,Gerald T. Van Sickle,UST,15,0,15
Muskegon,"Blue Lake Township, Precinct 1",Attorney General,,Cast Votes,,1145,0,1145
Muskegon,"Blue Lake Township, Precinct 1",Attorney General,,Over Votes,,1,0,1
Muskegon,"Blue Lake Township, Precinct 1",Attorney General,,Unresolved,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",U.S. House,2,Jerry Hilliard,DEM,429,0,429
Muskegon,"Blue Lake Township, Precinct 1",U.S. House,2,John Moolenaar,REP,698,0,698
Muskegon,"Blue Lake Township, Precinct 1",U.S. House,2,Nathan Hewer,LIB,15,0,15
Muskegon,"Blue Lake Township, Precinct 1",U.S. House,2,Cast Votes,,1142,0,1142
Muskegon,"Blue Lake Township, Precinct 1",U.S. House,2,Over Votes,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",U.S. House,2,Unresolved,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",State Senate,32,Terry J. Sabo,DEM,433,0,433
Muskegon,"Blue Lake Township, Precinct 1",State Senate,32,Jon C. Bumstead,REP,718,0,718
Muskegon,"Blue Lake Township, Precinct 1",State Senate,32,Cast Votes,,1151,0,1151
Muskegon,"Blue Lake Township, Precinct 1",State Senate,32,Over Votes,,1,0,1
Muskegon,"Blue Lake Township, Precinct 1",State Senate,32,Unresolved,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",State House,102,Brian Hosticka,DEM,450,0,450
Muskegon,"Blue Lake Township, Precinct 1",State House,102,Curt VanderWall,REP,690,0,690
Muskegon,"Blue Lake Township, Precinct 1",State House,102,Cast Votes,,1140,0,1140
Muskegon,"Blue Lake Township, Precinct 1",State House,102,Over Votes,,0,0,0
Muskegon,"Blue Lake Township, Precinct 1",State House,102,Unresolved,,0,0,0
