candidate,office,district,party,county,precinct,votes
,Straight Party,,DEM,Cheboygan,"City of Cheboygan, Precinct 1",36
,Straight Party,,REP,Cheboygan,"City of Cheboygan, Precinct 1",62
,Straight Party,,LIB,Cheboygan,"City of Cheboygan, Precinct 1",1
,Straight Party,,UST,Cheboygan,"City of Cheboygan, Precinct 1",0
,Straight Party,,WCP,Cheboygan,"City of Cheboygan, Precinct 1",1
,Straight Party,,GRN,Cheboygan,"City of Cheboygan, Precinct 1",0
,Straight Party,,NLP,Cheboygan,"City of Cheboygan, Precinct 1",1
Joseph R Biden,President,,DEM,Cheboygan,"City of Cheboygan, Precinct 1",71
Donald J Trump,President,,REP,Cheboygan,"City of Cheboygan, Precinct 1",108
Jo Jorgensen,President,,LIB,Cheboygan,"City of Cheboygan, Precinct 1",5
Don Blankenship,President,,UST,Cheboygan,"City of Cheboygan, Precinct 1",0
Howie Hawkins,President,,GRN,Cheboygan,"City of Cheboygan, Precinct 1",1
Rocky De La Fuente,President,,NLP,Cheboygan,"City of Cheboygan, Precinct 1",0
Write-In,President,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Brian T Carroll,President,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Tom Hoefling,President,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Tara Renee Hunter,President,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Jade Simmons,President,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Kasey Wells,President,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Gary Peters,U.S. Senate,,DEM,Cheboygan,"City of Cheboygan, Precinct 1",65
John James,U.S. Senate,,REP,Cheboygan,"City of Cheboygan, Precinct 1",114
Valerie L Willis,U.S. Senate,,UST,Cheboygan,"City of Cheboygan, Precinct 1",2
Marcia Squier,U.S. Senate,,GRN,Cheboygan,"City of Cheboygan, Precinct 1",2
Doug Dern,U.S. Senate,,NLP,Cheboygan,"City of Cheboygan, Precinct 1",0
Write-In,U.S. Senate,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Robert William Carr,U.S. Senate,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Leonard Paul Gadzinski,U.S. Senate,,,Cheboygan,"City of Cheboygan, Precinct 1",0
Dana Ferguson,U.S. House,1,DEM,Cheboygan,"City of Cheboygan, Precinct 1",61
Jack Bergman,U.S. House,1,REP,Cheboygan,"City of Cheboygan, Precinct 1",112
Ben Boren,U.S. House,1,LIB,Cheboygan,"City of Cheboygan, Precinct 1",10
Write-In,U.S. House,1,,Cheboygan,"City of Cheboygan, Precinct 1",0
LeeAnn Johnson,State House,106,DEM,Cheboygan,"City of Cheboygan, Precinct 1",
Sue Allor,State House,106,REP,Cheboygan,"City of Cheboygan, Precinct 1",
Write-In,State House,106,REP,Cheboygan,"City of Cheboygan, Precinct 1",
,Straight Party,,DEM,Cheboygan,"City of Cheboygan, Precinct 2",317
,Straight Party,,REP,Cheboygan,"City of Cheboygan, Precinct 2",564
,Straight Party,,LIB,Cheboygan,"City of Cheboygan, Precinct 2",9
,Straight Party,,UST,Cheboygan,"City of Cheboygan, Precinct 2",1
,Straight Party,,WCP,Cheboygan,"City of Cheboygan, Precinct 2",8
,Straight Party,,GRN,Cheboygan,"City of Cheboygan, Precinct 2",2
,Straight Party,,NLP,Cheboygan,"City of Cheboygan, Precinct 2",3
Joseph R Biden,President,,DEM,Cheboygan,"City of Cheboygan, Precinct 2",680
