county,precinct,office,district,candidate,party,election_day,absentee,votes
Otsego,"City of Gaylord, Ward 1, Precinct 1",Registered voters,,,,,,1421
Otsego,"City of Gaylord, Ward 1, Precinct 1",Ballots Cast,,,DEM,238,0,238
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S Senate,,Gary Peters,DEM,73,0,73
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S Senate,,Unresolved Write-In,DEM,0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S House,1,Diana Ferguson,DEM,49,0,49
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S House,1,Linda O'Dell,DEM,19,0,19
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S House,1,Unresolved Write-In,DEM,0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",State House,105,Jonathan Burke,DEM,71,0,71
Otsego,"City of Gaylord, Ward 1, Precinct 1",State House,105,Unresolved Write-In,DEM,0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S Senate,,John James,REP,131,0,131
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S Senate,,Unresolved Write-In,REP,2,0,2
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S House,1,Jack Bergman,REP,132,0,132
Otsego,"City of Gaylord, Ward 1, Precinct 1",U S House,1,Unresolved Write-In,REP,0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",State House,105,Ken Borton,REP,108,0,108
Otsego,"City of Gaylord, Ward 1, Precinct 1",State House,105,Tony Cutler,REP,27,0,27
Otsego,"City of Gaylord, Ward 1, Precinct 1",State House,105,Jimmy Schmidt,REP,11,0,11
Otsego,"City of Gaylord, Ward 1, Precinct 1",State House,105,Unresolved Write-In,REP,0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",Registered voters,,,,,,1174
Otsego,"City of Gaylord, Ward 2, Precinct 2",Ballots Cast,,,DEM,303,0,303
Otsego,"City of Gaylord, Ward 2, Precinct 2",U S Senate,,Gary Peters,DEM,85,0,85
Otsego,"City of Gaylord, Ward 2, Precinct 2",U S Senate,,Unresolved Write-In,DEM,0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",U S House,1,Diana Ferguson,DEM,48,0,48
Otsego,"City of Gaylord, Ward 2, Precinct 2",U S House,1,Linda O'Dell,DEM,36,0,36
Otsego,"City of Gaylord, Ward 2, Precinct 2",U S House,1,Unresolved Write-In,DEM,1,0,1
Otsego,"City of Gaylord, Ward 2, Precinct 2",State House,105,Jonathan Burke,DEM,81,0,81
