county,precinct,office,district,candidate,party,votes,election_day,absentee
Bay,"Auburn City, Pct 1",Registered Voters,,,,1590,,
Bay,"Auburn City, Pct 1",Ballots Cast,,,,420,420,0
Bay,"Auburn City, Pct 1",Ballots Cast,,,DEM,260,260,0
Bay,"Auburn City, Pct 1",Ballots Cast,,,REP,160,160,0
Bay,"Auburn City, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Auburn City, Pct 1",Ballots Cast Blank,,,,1,1,0
Bay,"Auburn City, Pct 1",President,,Michael Bennet,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Joe Biden,DEM,155,155,0
Bay,"Auburn City, Pct 1",President,,Michael R. Bloomberg,DEM,8,8,0
Bay,"Auburn City, Pct 1",President,,Cory Booker,DEM,1,1,0
Bay,"Auburn City, Pct 1",President,,Pete Buttigieg,DEM,4,4,0
Bay,"Auburn City, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Tulsi Gabbard,DEM,2,2,0
Bay,"Auburn City, Pct 1",President,,Amy Klobuchar,DEM,2,2,0
Bay,"Auburn City, Pct 1",President,,Bernie Sanders,DEM,83,83,0
Bay,"Auburn City, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Tom Steyer,DEM,1,1,0
Bay,"Auburn City, Pct 1",President,,Elizabeth Warren,DEM,1,1,0
Bay,"Auburn City, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Andrew Yang,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Uncommitted,DEM,1,1,0
Bay,"Auburn City, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Auburn City, Pct 1",President,,Mark Sanford,REP,3,3,0
Bay,"Auburn City, Pct 1",President,,Donald J. Trump,REP,145,145,0
Bay,"Auburn City, Pct 1",President,,Joe Walsh,REP,2,2,0
Bay,"Auburn City, Pct 1",President,,Bill Weld,REP,1,1,0
Bay,"Auburn City, Pct 1",President,,Uncommitted,REP,9,9,0
Bay,"Auburn City, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 1, Pct 1",Registered Voters,,,,2607,,
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast,,,,706,438,268
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast,,,DEM,555,366,189
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast,,,REP,151,72,79
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 1, Pct 1",Ballots Cast Blank,,,,1,0,1
Bay,"Bay City, Ward 1, Pct 1",President,,Michael Bennet,DEM,1,1,0
Bay,"Bay City, Ward 1, Pct 1",President,,Joe Biden,DEM,238,173,65
Bay,"Bay City, Ward 1, Pct 1",President,,Michael R. Bloomberg,DEM,41,2,39
Bay,"Bay City, Ward 1, Pct 1",President,,Cory Booker,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Pete Buttigieg,DEM,7,0,7
Bay,"Bay City, Ward 1, Pct 1",President,,Julian Castro,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,John Delaney,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Tulsi Gabbard,DEM,4,2,2
Bay,"Bay City, Ward 1, Pct 1",President,,Amy Klobuchar,DEM,4,2,2
Bay,"Bay City, Ward 1, Pct 1",President,,Bernie Sanders,DEM,238,183,55
Bay,"Bay City, Ward 1, Pct 1",President,,Joe Sestak,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Tom Steyer,DEM,4,0,4
Bay,"Bay City, Ward 1, Pct 1",President,,Elizabeth Warren,DEM,6,2,4
Bay,"Bay City, Ward 1, Pct 1",President,,Marianne Williamson,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Andrew Yang,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Uncommitted,DEM,11,1,10
Bay,"Bay City, Ward 1, Pct 1",President,,Write-In Totals,DEM,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Mark Sanford,REP,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Donald J. Trump,REP,135,67,68
Bay,"Bay City, Ward 1, Pct 1",President,,Joe Walsh,REP,3,0,3
Bay,"Bay City, Ward 1, Pct 1",President,,Bill Weld,REP,0,0,0
Bay,"Bay City, Ward 1, Pct 1",President,,Uncommitted,REP,12,4,8
Bay,"Bay City, Ward 1, Pct 1",President,,Write-In Totals,REP,0,0,0
Bay,"Bay City, Ward 2, Pct 1",Registered Voters,,,,2761,,
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast,,,,857,590,267
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast,,,DEM,710,519,191
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast,,,REP,147,71,76
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast,,,NPA,0,0,0
Bay,"Bay City, Ward 2, Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Michael Bennet,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Joe Biden,DEM,335,247,88
Bay,"Bay City, Ward 2, Pct 1",President,,Michael R. Bloomberg,DEM,34,2,32
Bay,"Bay City, Ward 2, Pct 1",President,,Cory Booker,DEM,0,0,0
Bay,"Bay City, Ward 2, Pct 1",President,,Pete Buttigieg,DEM,9,0,9
